right x, right y, right size, left x, left y, left size
3.197510,8.631836,34.906250,7.890625,7.681152,35.933594
3.201904,8.637451,34.898438,7.891602,7.682129,35.937500
3.198242,8.637695,34.890625,7.889648,7.682617,35.933594
3.201172,8.646484,34.886719,7.890137,7.684082,35.945312
3.197754,8.647705,34.886719,7.885986,7.685303,35.949219
3.197266,8.645508,34.886719,7.886475,7.686279,35.957031
3.198730,8.646729,34.886719,7.885498,7.688477,35.960938
3.203369,8.649414,34.867188,7.879395,7.689209,35.957031
3.196777,8.648193,34.871094,7.878174,7.689697,35.953125
3.195557,8.646729,34.867188,7.879395,7.689697,35.945312
3.193115,8.645020,34.871094,7.876465,7.687256,35.941406
3.190430,8.649170,34.875000,7.877197,7.690186,35.945312
3.190674,8.649658,34.871094,7.876953,7.691895,35.949219
3.182129,8.652588,34.878906,7.874023,7.693359,35.949219
3.184082,8.657959,34.863281,7.869385,7.698975,35.949219
3.180176,8.661377,34.863281,7.867432,7.702148,35.949219
3.184082,8.659668,34.875000,7.866943,7.703613,35.953125
3.183105,8.658203,34.867188,7.863770,7.706055,35.953125
3.187500,8.661621,34.863281,7.863037,7.708252,35.957031
3.187988,8.665283,34.871094,7.863281,7.711426,35.964844
3.185547,8.668701,34.867188,7.865723,7.712891,35.964844
3.193115,8.669189,34.878906,7.865967,7.718018,35.972656
3.189453,8.675781,34.882812,7.866455,7.715088,35.968750
3.185547,8.677979,34.886719,7.865234,7.719482,35.968750
3.187988,8.677490,34.878906,7.861816,7.720947,35.968750
3.189453,8.683105,34.863281,7.863037,7.724121,35.976562
3.192627,8.683350,34.855469,7.862549,7.729248,35.972656
3.189209,8.686523,34.843750,7.862305,7.732422,35.968750
3.185791,8.687988,34.839844,7.858643,7.735107,35.968750
3.184326,8.688232,34.839844,7.858887,7.738770,35.976562
3.185791,8.687988,34.843750,7.857178,7.740723,35.980469
3.182617,8.689941,34.843750,7.858643,7.739014,35.988281
3.182129,8.688965,34.828125,7.855469,7.742920,35.984375
3.183350,8.686523,34.835938,7.855713,7.746094,35.976562
3.185059,8.689453,34.832031,7.858398,7.748535,35.980469
3.187988,8.688965,34.839844,7.859619,7.750000,35.964844
3.188721,8.687988,34.847656,7.857422,7.750732,35.968750
3.181641,8.691895,34.855469,7.858643,7.752197,35.976562
3.185059,8.684326,34.855469,7.856201,7.748291,35.976562
3.187500,8.687256,34.843750,7.855713,7.745850,35.988281
3.190674,8.686768,34.847656,7.856201,7.746338,35.972656
3.188477,8.684570,34.855469,7.855225,7.740479,35.972656
3.188721,8.685791,34.855469,7.854736,7.736572,35.976562
3.191650,8.685059,34.863281,7.854004,7.735840,35.968750
3.188477,8.679443,34.863281,7.853027,7.734131,35.976562
3.184082,8.679688,34.878906,7.854004,7.733887,35.976562
3.182129,8.671631,34.875000,7.855713,7.731201,35.980469
3.179443,8.671631,34.882812,7.854004,7.728760,35.984375
3.177490,8.675049,34.875000,7.856934,7.729492,35.972656
3.174561,8.673584,34.875000,7.860352,7.726318,35.972656
3.174072,8.672363,34.875000,7.855957,7.723145,35.968750
3.176758,8.672363,34.867188,7.854004,7.720947,35.968750
3.177979,8.673828,34.871094,7.856201,7.718018,35.960938
3.177002,8.671387,34.867188,7.856689,7.715820,35.949219
3.174316,8.672363,34.875000,7.856201,7.716553,35.953125
3.172363,8.671631,34.878906,7.861816,7.716797,35.949219
3.172363,8.670898,34.875000,7.863037,7.711670,35.933594
3.178223,8.670898,34.859375,7.864258,7.711914,35.945312
3.172852,8.670654,34.863281,7.865234,7.707520,35.941406
3.172852,8.670654,34.863281,7.862061,7.706543,35.937500
3.169922,8.664795,34.863281,7.864258,7.704590,35.925781
3.170898,8.664062,34.871094,7.866455,7.704834,35.917969
3.169189,8.662842,34.871094,7.866943,7.704590,35.914062
3.173828,8.661621,34.867188,7.867920,7.701660,35.902344
3.171631,8.655029,34.875000,7.868408,7.699707,35.914062
3.175049,8.658691,34.871094,7.871826,7.702881,35.921875
3.178711,8.659668,34.867188,7.872559,7.702393,35.933594
3.177979,8.660889,34.863281,7.873047,7.701660,35.914062
3.178711,8.660645,34.863281,7.874268,7.700684,35.925781
3.179443,8.662109,34.863281,7.878418,7.698486,35.902344
3.183838,8.661133,34.863281,7.879883,7.699219,35.906250
3.182617,8.659668,34.863281,7.876953,7.697754,35.906250
3.184326,8.659424,34.859375,7.876953,7.697266,35.902344
3.186035,8.658691,34.859375,7.875977,7.696777,35.898438
3.179932,8.653076,34.875000,7.877441,7.695801,35.898438
3.176758,8.651611,34.871094,7.874756,7.694824,35.910156
3.177979,8.645996,34.875000,7.874268,7.694580,35.898438
3.175293,8.638916,34.875000,7.875244,7.693115,35.898438
3.175049,8.637939,34.863281,7.877930,7.691895,35.902344
3.179443,8.638916,34.867188,7.873047,7.692139,35.906250
3.177246,8.635254,34.875000,7.875000,7.691650,35.914062
3.175537,8.632812,34.867188,7.873535,7.691895,35.921875
3.178711,8.635254,34.867188,7.882568,7.690674,35.917969
3.178711,8.637939,34.875000,7.883057,7.689697,35.929688
3.185303,8.638184,34.875000,7.885254,7.689453,35.914062
3.185059,8.638184,34.871094,7.888672,7.688721,35.898438
3.182617,8.642334,34.878906,7.887207,7.689453,35.894531
3.181885,8.638428,34.886719,7.886963,7.689209,35.894531
3.188721,8.635254,34.882812,7.885742,7.689697,35.894531
3.183594,8.630615,34.890625,7.884033,7.690430,35.902344
3.185059,8.630371,34.875000,7.882568,7.689941,35.914062
3.184082,8.626709,34.886719,7.880859,7.689697,35.910156
3.188721,8.630371,34.878906,7.885498,7.687988,35.890625
